BALEARIC,Period,Year,season,LAT,LONG,effort,front_distance,front_dens,gradient,BATIMETRY,DIST,CHL,CHLchange,CHLgrad,SST,SSTchange,SSTgrad,SSTanomaly,SSH
0,13,2009,1,36.47,-7.67,0,17.44,0.01,43.75,535.00,57147.41,0.16,-94.98,7.36,18.70,-28.53,0.92,-0.12,0.05
0,13,2009,1,36.47,-7.64,0,17.00,0.01,37.79,574.00,58233.64,0.16,-95.36,9.85,18.70,-28.49,0.92,-0.14,0.05
0,13,2009,1,36.47,-7.60,1,17.00,0.01,37.79,691.00,59473.92,0.15,-96.45,13.20,18.68,-28.11,0.92,-0.14,0.05
0,13,2009,1,36.47,-6.34,1,12.77,0.03,53.06,27.00,7125.29,2.66,-73.98,70.14,16.45,-26.22,6.36,-0.94,0.04
0,13,2009,1,36.50,-7.75,0,18.00,0.01,20.02,630.00,51570.57,0.16,-94.06,2.96,18.65,-28.06,0.79,-0.25,0.04
0,13,2009,1,36.50,-7.71,1,17.11,0.01,20.02,604.00,52380.27,0.16,-94.06,4.09,18.65,-28.06,0.55,-0.12,0.05
0,13,2009,1,36.50,-7.67,0,17.00,0.01,20.02,579.00,53369.62,0.16,-95.00,7.36,18.63,-27.96,0.64,-0.09,0.05
0,13,2009,1,36.50,-6.38,1,12.88,0.03,68.57,27.00,7672.58,2.89,-71.49,69.61,16.73,-27.01,5.35,-0.72,0.04
0,13,2009,1,36.54,-7.85,0,18.88,9.0e-03,4.07,745.00,46249.24,0.16,-88.65,4.49,18.50,-26.91,1.38,-0.27,0.04
0,13,2009,1,36.54,-7.82,0,18.44,9.0e-03,15.96,738.00,46514.53,0.16,-90.67,4.49,18.55,-27.15,1.38,-0.27,0.04
0,13,2009,1,36.54,-7.78,0,17.77,9.78e-03,15.96,711.00,46998.37,0.16,-92.39,4.49,18.62,-27.59,1.22,-0.24,0.04
0,13,2009,1,36.54,-6.38,0,13.66,0.03,68.57,21.00,7214.11,3.04,-65.47,74.87,16.76,-28.37,5.44,-0.97,0.04
0,13,2009,1,36.58,-7.96,0,18.11,0.01,6.22,762.00,42771.57,0.16,-86.72,7.98,18.46,-27.06,0.76,-0.24,0.04
0,13,2009,1,36.58,-7.93,0,17.44,0.01,6.22,753.00,42371.53,0.16,-86.72,8.02,18.46,-27.06,1.07,-0.22,0.04
0,13,2009,1,36.58,-7.89,0,17.11,0.01,4.07,755.00,42212.68,0.16,-87.44,7.50,18.44,-26.84,1.19,-0.22,0.04
0,13,2009,1,36.58,-7.85,0,16.66,0.01,4.07,756.00,42262.66,0.16,-88.65,7.64,18.50,-26.91,1.39,-0.22,0.04
0,13,2009,1,36.58,-6.77,1,7.00,0.04,48.51,180.00,34835.30,0.40,-61.59,62.42,17.66,-25.48,5.21,-0.97,0.04
0,13,2009,1,36.58,-6.74,1,8.00,0.04,49.76,136.00,31947.27,0.51,-56.55,59.47,17.44,-25.55,4.60,-0.87,0.04
0,13,2009,1,36.61,-8.03,0,16.66,0.01,15.26,793.00,40257.44,0.17,-87.73,11.03,18.42,-26.88,1.19,-0.15,0.04
0,13,2009,1,36.61,-8.00,0,16.66,0.01,4.73,774.00,39484.69,0.17,-87.73,11.03,18.42,-26.88,1.01,-0.15,0.04
0,13,2009,1,36.61,-7.96,0,16.66,0.01,4.73,753.00,38837.52,0.17,-86.42,11.79,18.38,-27.04,0.81,-0.20,0.04
0,13,2009,1,36.61,-6.70,1,7.88,0.05,45.18,95.00,27308.28,0.61,-66.39,72.13,17.19,-25.53,4.26,-0.90,0.04
0,13,2009,1,36.61,-6.67,0,7.66,0.05,56.84,72.00,24398.51,0.61,-66.39,64.44,17.19,-25.53,3.04,-0.56,0.04
0,13,2009,1,36.61,-6.63,0,8.22,0.05,56.84,70.00,21526.53,0.61,-66.39,79.94,17.19,-25.53,1.80,-0.56,0.04
0,13,2009,1,36.65,-8.14,0,15.00,0.02,20.47,854.00,40112.00,0.17,-86.98,26.51,18.42,-27.09,2.43,-0.27,0.04
0,13,2009,1,36.65,-8.11,0,15.33,0.02,20.47,836.00,38807.07,0.17,-86.98,26.51,18.42,-27.09,2.43,-0.27,0.04
0,13,2009,1,36.65,-8.07,1,15.33,0.02,15.26,805.00,37518.96,0.17,-87.30,25.85,18.37,-26.87,2.43,-0.17,0.04
0,13,2009,1,36.65,-6.63,0,7.88,0.05,56.84,64.00,19790.80,1.11,-76.68,85.49,17.06,-28.03,2.31,-0.87,0.04
0,13,2009,1,36.65,-6.59,0,8.22,0.05,56.84,47.00,16871.61,1.11,-76.68,88.45,17.06,-28.03,3.66,-0.62,0.04
0,13,2009,1,36.68,-8.25,0,12.66,0.03,12.46,757.00,41730.68,0.20,-86.32,42.20,18.21,-27.31,3.87,-0.35,0.04
0,13,2009,1,36.68,-8.21,1,12.88,0.03,12.46,763.00,39858.96,0.19,-88.13,42.60,18.26,-27.08,4.09,-0.35,0.04
0,13,2009,1,36.68,-8.18,0,13.33,0.03,12.46,770.00,38097.08,0.19,-86.78,42.60,18.26,-27.14,4.09,-0.32,0.04
0,13,2009,1,36.68,-6.52,0,10.22,0.05,64.70,22.00,9351.15,4.57,-55.85,85.55,16.84,-31.88,4.69,-0.54,0.04
0,13,2009,1,36.79,-6.74,1,6.22,0.06,61.66,49.00,28265.62,1.67,-58.14,70.04,16.95,-28.35,3.33,-0.82,0.04
0,13,2009,1,36.83,-8.39,0,7.00,0.06,66.83,286.00,27943.15,0.27,-87.21,53.20,17.54,-24.76,5.18,-0.34,0.03
0,13,2009,1,36.83,-8.32,0,7.00,0.06,63.61,279.00,26624.04,0.31,-88.06,56.59,17.48,-26.13,4.81,-0.47,0.03
0,13,2009,1,36.83,-8.29,0,6.77,0.06,63.61,282.00,26508.48,0.33,-88.12,62.15,17.51,-26.38,4.82,-0.62,0.03
0,13,2009,1,36.83,-8.25,0,6.11,0.06,63.53,282.00,26699.95,0.33,-88.12,61.44,17.51,-26.38,4.82,-0.67,0.03
0,13,2009,1,36.83,-8.07,0,4.44,0.06,34.23,488.00,19449.73,0.34,-88.49,62.69,17.51,-25.56,4.29,-0.60,0.03
0,13,2009,1,36.83,-8.03,1,4.11,0.06,34.23,544.00,17956.09,0.34,-88.49,61.99,17.51,-25.56,4.27,-0.70,0.03
0,13,2009,1,36.83,-8.00,0,4.00,0.06,21.14,578.00,16644.44,0.34,-88.49,61.59,17.51,-25.56,4.24,-0.70,0.03
0,13,2009,1,36.83,-7.96,0,3.66,0.06,21.14,616.00,15465.88,0.37,-85.35,59.66,17.42,-25.76,4.42,-0.77,0.04
0,13,2009,1,36.83,-7.17,0,7.77,0.06,30.33,310.00,41102.34,0.24,-87.03,53.41,18.04,-27.36,3.45,-0.67,0.05
0,13,2009,1,36.83,-7.10,0,6.55,0.06,47.52,191.00,39282.47,0.34,-71.50,60.26,17.67,-25.30,4.45,-0.60,0.05
